,0,1,2,3,4,5,6,7,8,9
usa_productivas__No,1.4206526100980355,-0.5365335347401832,-0.399968936239856,0.3919001525847546,0.013993933020705715,0.006952650667487369,-0.11080012102981984,-0.24665198367076835,0.5581616179887555,0.03986523500841618
usa_productivas__Sí,-0.4404336010381007,0.16633721368872378,0.12399918012281887,-0.12149767946322694,-0.004338427472827236,-0.0021554748490062803,0.034350478050544225,0.07646754780101601,-0.17304239588528042,-0.012359100941486113
usa_recreativas__No,0.7171692060580106,-0.055106626520973916,0.14894087885248486,-0.0764988806949911,-0.13864147391012785,0.04712592704813555,-0.08317507741502511,0.14330540453836033,-0.41688055653617984,0.14418197795986376
usa_recreativas__Sí,-0.593234435425861,0.04558359198393764,-0.12320224771438278,0.06327902804032703,0.1146826938565347,-0.038982045645807414,0.06880150412901824,-0.11854064568956495,0.34483898570619276,-0.11926573752901289
usa_creativas__No,0.773901682925323,-0.1299096904517648,0.12158926138408485,0.05274578595742946,-0.17208157939393,-0.027464769058512965,-0.11668720252193727,0.01817925829993135,-0.1719803595950872,0.20771279406710474
usa_creativas__Sí,-0.6780794713959235,0.11382465780119333,-0.10653443958810685,-0.04621495914724295,0.1507749485068264,0.02406416279495907,0.10223933911819565,-0.0159283564441826,0.15068626144332983,-0.1819944118364005
usa_comunicaciones__No,1.969871620169224,2.7527391371784176,-0.00024307753506692972,-0.26106280759765316,0.3570154726135593,-0.01661160363253984,0.30822721715894325,0.03552827517928154,0.30139516609327716,-0.06226651309216007
usa_comunicaciones__Sí,-0.1602759181864977,-0.2239728661613365,1.977767217108786e-05,0.02124101934544559,-0.029048077089920313,0.0013515804773748382,-0.025078487214296327,-0.00289070966231469,-0.024522606695770697,0.005066229928861923
hab_basicas__No,2.1366863685768496,2.9328687596951593,0.03987642361971627,-0.3384130608854876,0.43943850443951327,-0.02039321704659578,0.29066540101052507,0.08120368780432106,0.27892900711965135,-0.03657458268899122
hab_basicas__Sí,-0.1514868796087552,-0.20793465210532808,-0.00282716035116104,0.023992823357850183,-0.03115532948423299,0.00144583915590328,-0.02060760776914599,-0.005757182457430224,-0.01977552042374258,0.00259306629462796
hab_intermedias__No,1.5680002622248692,-0.5181596534016518,-0.4361493593063061,0.46493579064986845,-0.008646802181750804,-0.016052019771429664,-0.17557468364660023,-0.3159010271040438,0.5990171237381917,0.12229913819642367
hab_intermedias__Sí,-0.41407870899350535,0.1368359977367802,0.11517865652244152,-0.12278059933739888,0.0022834541362012164,0.004239029663337296,0.046365896797215686,0.08342338494724162,-0.15818890037081776,-0.032296849991298
hab_avanzadas__No,0.4359622449660366,-0.16587294593394175,0.192692777565072,-0.12508440718628014,-0.09086583984992821,-7.023848370066558e-05,0.019024478026239897,0.13040534840221094,-0.2229217597086667,0.039915097138610946
hab_avanzadas__Sí,-0.9040302366543809,0.3439613413746477,-0.3995761085167184,0.25938045676224736,0.18842335007640315,0.00014564956891436495,-0.03944998350402417,-0.27041419145419654,0.4622602381555698,-0.0827696781750276
gse__AB,-0.8194602892667657,0.4902460830531443,-1.3102814658182245,1.7674422704683042,0.8304816325985884,-1.2970008142259026,-0.11484023303961206,1.6280052192473173,-0.6437792341339771,1.3275274409407334
gse__C1,-0.5902463842975408,0.39986590025601143,-0.4622220271469331,-0.2744257225095038,0.1135789172714195,2.1991075771823634,-1.188386429045983,-0.28948662968519256,-0.10207855746685185,0.879879450117786
gse__C2,-0.384818479835627,0.26429519747818486,-0.10201000502650907,-0.48892401743082564,-1.1329234749610322,-0.8128172924850681,0.3600213833735751,-0.9715927165793841,0.07025084963075015,0.618692313641825
gse__C3,0.048169530715526356,-0.13208183890810204,1.2976147701457785,0.11055611826750637,0.28157319770070793,-0.2426862779778046,-0.4837578672622068,0.41748610833199695,0.6575773267579212,-0.17001379845491485
gse__D,0.3998417021001758,-0.2497983516895174,-0.09329454314198016,0.6438449156673137,-0.3266292736309068,0.9778280953127862,1.750618911466155,0.3518585661826437,-0.10177546865912399,-0.506764840283623
gse__E,0.6822173010335199,-0.314698470317762,-0.9058366962566957,-0.7023442866146784,0.747528229155002,-0.4324744710822448,-0.4713127431583266,-0.2919281414885971,-0.6348305290913469,-1.04373661853961
zona__Rural,0.09935697916344206,-0.3527743417947838,0.3588281613582811,-0.19398937066066246,1.1572401897806024,-0.017562720404504503,0.5759054817877831,-0.5900688873484049,-0.1202547974527343,0.5392215992640613
zona__Urbana,-0.037828310116784045,0.13431222763631956,-0.13661710612364122,0.07385782191142956,-0.44059754178530797,0.006686677066369758,-0.2192652327642385,0.2246576843299782,0.04578476327858097,-0.20529853111852886
sexo__Hombre,-0.08520581577634198,0.2663097333995985,0.30223717555557794,0.7637238328866257,-0.023212148814220894,0.003612522626193047,-0.20044905665462476,-0.5548094149576155,-0.3711012237938002,-0.21614420204193513
sexo__Mujer,0.06589715532460239,-0.20596075169741726,-0.2337466042779814,-0.5906548465299105,0.01795199731252702,-0.002793881643440258,0.15502489472916392,0.42908294298808897,0.28700523271417744,0.16716333180656645
